K680 乌鲁木齐 Tue 23:00:00 吐鲁番 Wed 00:55:00 1:55:00 硬座 23.5
K680 吐鲁番 Wed 01:01:00 鄯善 Wed 02:23:00 1:22:00 硬座 23.5
K680 吐鲁番 Wed 01:01:00 哈密 Wed 05:11:00 4:10:00 硬座 62.5
K680 吐鲁番 Wed 01:01:00 柳园 Wed 09:10:00 8:09:00 硬座 98.0
K680 吐鲁番 Wed 01:01:00 疏勒河 Wed 11:17:00 10:16:00 硬座 115.0
K680 吐鲁番 Wed 01:01:00 低窝铺 Wed 11:54:00 10:53:00 硬座 119.0
K680 吐鲁番 Wed 01:01:00 嘉峪关 Wed 13:17:00 12:16:00 硬座 135.5
K680 吐鲁番 Wed 01:01:00 酒泉 Wed 13:43:00 12:42:00 硬座 135.5
K680 吐鲁番 Wed 01:01:00 清水 Wed 14:25:00 13:24:00 硬座 141.5
K680 鄯善 Wed 02:29:00 哈密 Wed 05:11:00 2:42:00 硬座 41.5
K680 鄯善 Wed 02:29:00 柳园 Wed 09:10:00 6:41:00 硬座 81.0
K680 鄯善 Wed 02:29:00 疏勒河 Wed 11:17:00 8:48:00 硬座 98.0
K680 鄯善 Wed 02:29:00 低窝铺 Wed 11:54:00 9:25:00 硬座 102.0
K680 鄯善 Wed 02:29:00 嘉峪关 Wed 13:17:00 10:48:00 硬座 115.0
K680 鄯善 Wed 02:29:00 酒泉 Wed 13:43:00 11:14:00 硬座 119.0
K680 鄯善 Wed 02:29:00 清水 Wed 14:25:00 11:56:00 硬座 124.0
K680 鄯善 Wed 02:29:00 张掖 Wed 15:57:00 13:28:00 硬座 141.5
K680 哈密 Wed 05:22:00 柳园 Wed 09:10:00 3:48:00 硬座 50.5
K680 哈密 Wed 05:22:00 疏勒河 Wed 11:17:00 5:55:00 硬座 69.0
K680 哈密 Wed 05:22:00 低窝铺 Wed 11:54:00 6:32:00 硬座 72.0
K680 柳园 Wed 09:16:00 疏勒河 Wed 11:17:00 2:01:00 硬座 23.5
K680 柳园 Wed 09:16:00 低窝铺 Wed 11:54:00 2:38:00 硬座 28.5
K680 柳园 Wed 09:16:00 嘉峪关 Wed 13:17:00 4:01:00 硬座 43.5
