K871 重庆西 Fri 17:54:00 贵阳 Fri 21:45:00 3:51:00 硬座 51.5
K871 柳州 Sat 06:06:00 来宾 Sat 06:56:00 0:50:00 硬座 12.5
K871 柳州 Sat 06:06:00 贵港 Sat 08:29:00 2:23:00 硬座 28.5
K871 柳州 Sat 06:06:00 玉林 Sat 09:44:00 3:38:00 硬座 41.5
K871 柳州 Sat 06:06:00 河唇 Sat 11:32:00 5:26:00 硬座 54.5
K871 柳州 Sat 06:06:00 廉江 Sat 11:46:00 5:40:00 硬座 62.5
K871 柳州 Sat 06:06:00 遂溪 Sat 12:10:00 6:04:00 硬座 62.5
K871 柳州 Sat 06:06:00 湛江 Sat 12:50:00 6:44:00 硬座 64.5
K871 来宾 Sat 07:01:00 贵港 Sat 08:29:00 1:28:00 硬座 18.5
K871 来宾 Sat 07:01:00 玉林 Sat 09:44:00 2:43:00 硬座 32.5
K871 来宾 Sat 07:01:00 河唇 Sat 11:32:00 4:31:00 硬座 50.5
K871 贵港 Sat 08:34:00 玉林 Sat 09:44:00 1:10:00 硬座 14.5
K871 贵港 Sat 08:34:00 河唇 Sat 11:32:00 2:58:00 硬座 32.5
K871 贵港 Sat 08:34:00 廉江 Sat 11:46:00 3:12:00 硬座 32.5
K871 贵港 Sat 08:34:00 遂溪 Sat 12:10:00 3:36:00 硬座 37.5
K871 贵港 Sat 08:34:00 湛江 Sat 12:50:00 4:16:00 硬座 41.5
K871 玉林 Sat 10:00:00 河唇 Sat 11:32:00 1:32:00 硬座 18.5
K871 玉林 Sat 10:00:00 廉江 Sat 11:46:00 1:46:00 硬座 19.5
K871 玉林 Sat 10:00:00 遂溪 Sat 12:10:00 2:10:00 硬座 23.5
K871 玉林 Sat 10:00:00 湛江 Sat 12:50:00 2:50:00 硬座 28.5
K871 河唇 Sat 11:36:00 廉江 Sat 11:46:00 0:10:00 硬座 8.0
K871 河唇 Sat 11:36:00 遂溪 Sat 12:10:00 0:34:00 硬座 9.0
K871 河唇 Sat 11:36:00 湛江 Sat 12:50:00 1:14:00 硬座 12.5
K871 廉江 Sat 11:50:00 遂溪 Sat 12:10:00 0:20:00 硬座 9.0
K871 廉江 Sat 11:50:00 湛江 Sat 12:50:00 1:00:00 硬座 11.0
K871 遂溪 Sat 12:14:00 湛江 Sat 12:50:00 0:36:00 硬座 9.0
